NAMA,PARTAI,URUT,KUNINGAN,KOTA BANJAR,PANGANDARAN
"Hj. LESTARI YUSENO, SH",BERKARYA,2,2978,245,467
SIR JOHN,BERKARYA,3,428,84,193
AHMAD JAYA ADIGUNA,BERKARYA,4,467,121,256
MULYADI ELHAN ZAKARIA,BERKARYA,5,263,64,131
NUNI HARMAYANTI,BERKARYA,6,275,35,72
AVERINA OKTAVIA MENGKO,BERKARYA,7,176,35,72
"DR. KH. SURAHMAN HIDAYAT, MA.",PKS,1,39961,5638,8133
"KH. ACHIDIN NOOR, MA.",PKS,2,12731,951,1326
"ANITA SETIYOWATI, S.Pd.",PKS,3,3307,371,528
Ir. H. ADE BARKAH,PKS,4,1904,410,337
"ICIH MINTARSIH, S.Pd",PKS,5,1959,117,148
HJ ETY NURHADIYATI,PKS,6,1347,1068,244
H. ISMAIL ELYAS,PKS,7,494,133,280
LINDA KARTIKA DEWI,PPI,1,2930,632,1697
"UUS ALI HUSNI, S.Kom",PPI,2,966,162,446
"A. DARSONO, SH, MH",PPI,3,710,158,345
"AMINUDDIN, S.Sos, MM",PPI,4,616,74,415
"THIYA LATIFFAH SYAEFFUDIN FUTRI, S.Farm",PPI,5,876,73,210
ARISTOKRA L.J TOMASOA,PPI,6,86,16,41
"BETY PUSPITASARI, AK",PPI,7,82,23,77
ASEP A MAOSHUL AFFANDY,PPP,1,8734,2135,8116
ARYA PERMANA GRAHA,PPP,2,13820,1389,1272
DRA. HJ. WARDATUN NA'IM,PPP,3,1170,254,443
"DR. H. HERI SOLEHUDIN ATMAWIDJAJA, MM",PPP,4,1605,601,616
IDA NURHAIDAH,PPP,5,1630,210,298
"SITI HABSYAH MAYAWATI, S.E.",PPP,6,643,78,223
"ALI SA'RONI, S.IP",PPP,7,301,64,242
NUNU NUGRAHA,PSI,1,606,152,133
"KURNIASARI AMBAR, S.Pd",PSI,2,388,68,90
"ANDRIANSYAH, S.Si, M.S.E",PSI,3,327,63,96
"BAMBANG PRAKUSO, BA",PSI,4,228,39,53
"Drs. DADANG SETIAWAN, M.Si",PSI,5,229,29,45
ISMI DIANG MEILAN,PSI,6,116,42,24
NURUL GEOVANI,PSI,7,196,54,55
BUDI YOUYASTRI,PAN,1,6957,1183,9614
Ir. H. CHANDRA TIRTAWIJAYA,PAN,2,5281,590,1554
"Dra. Hj. VETRINA SUTINGAH, M.Pd",PAN,3,1900,268,1165
AAN HANAFI,PAN,4,1421,662,742
H. KUSWARA SASTRA PERMANA,PAN,5,2689,121,271
"YUMAIZA, SE",PAN,6,222,29,46
"MARINA OKTAVIA, A.Md",PAN,7,339,40,62
AZRAL HARDY,HANURA,1,254,363,103
BUDI WARSITO,HANURA,2,106,174,60
ARIENA JUNISA,HANURA,3,57,63,14
"H.DIDI IRAWADI SYAMSUDDIN, SH",DEMOKRAT,1,9774,783,2836
"H.T.MAMAT ROBBY SUGANDA, M.AP",DEMOKRAT,2,26251,360,825
"HJ. YOYOH RUKIJAH, S.TR. KEB",DEMOKRAT,3,10506,244,335
"TB CEPPY SUBHAN SOLICHIN, SE",DEMOKRAT,4,653,114,163
Dr. Hj. IRMA BASTAMAN HARIS,DEMOKRAT,5,1056,7436,880
"YETI HERYATI, SH",DEMOKRAT,6,803,217,404
DENI DURIYATUL ROMDONAH,DEMOKRAT,7,1237,25,51
"Dr. Ir. H. AKHMAD BAKHTIAR AMIN, M.Sc., M.Si",PBB,1,769,171,185
Ir. YULIASTUTI,PBB,2,321,59,85
NUR EFENDI,PBB,3,167,53,49
"DRA. RAHMI YUSUF LUTAN, M.S.",PBB,4,125,24,31
ALI NURHAKIM,PBB,5,118,47,156
SALEH HIDAYAT,PBB,6,65,7,27
RICO JOHANES HASIBUAN,PKPI,1,188,37,62
KARINDRA UKAR,PKPI,2,82,11,11
VONNY RIDHA,PKPI,3,94,23,23
